feature,Mean_Oxygen,Mean_Oxygen_qval,log_PO4,log_PO4_qval,log_NO2NO3,log_NO2NO3_qval,sqrt_iron,sqrt_iron_qval,log_depth,log_depth_qval,Mean_Temperature,Mean_Temperature_qval,Mean_Salinity,Mean_Salinity_qval,size_fraction,size_fraction_qval,Absolute_Latitude,Absolute_Latitude_qval
COG3869,negative,0.00574087510048641,not_significant,0.945039711119265,not_significant,0.658683620078031,not_significant,0.700942572484451,positive,0.0139150773041927,not_significant,0.115717085141157,not_significant,0.527542323033133,positive,0.0371980746182869,not_significant,0.0765799432498397
COG3870,not_significant,0.126082699961955,not_significant,0.904798522825479,not_significant,0.395940378604997,positive,0.0188427529937179,positive,3.3291763479565e-4,not_significant,0.562706383143892,positive,0.00861901042361746,positive,7.2698459452473e-4,not_significant,0.313504640838534
COG3871,not_significant,0.670508826430027,not_significant,0.900535017286693,not_significant,0.812942137696808,not_significant,0.656636374949573,positive,1.1033495651254e-4,not_significant,0.920927484785801,not_significant,0.091765200753051,positive,0.0240047146643255,not_significant,0.387081512864375
COG3872,negative,0.00140899166372707,not_significant,0.149752081371708,not_significant,0.426623757942771,not_significant,0.560989698775319,positive,0.0019362549984183,not_significant,0.243591259863567,not_significant,0.734073660897919,not_significant,0.376124863535994,not_significant,0.787366816485252
COG3875,negative,0.00757000241946117,not_significant,0.795337047407537,not_significant,0.350620000342431,not_significant,0.140411021669873,positive,0.00258541945407448,not_significant,0.289641268805048,positive,0.0171057785903272,positive,0.00464501132959013,not_significant,0.0875127460456189
COG3876,not_significant,0.319045061425974,not_significant,0.68556307864492,not_significant,0.134832451232823,not_significant,0.353238589961491,positive,0.0347636451065622,not_significant,0.949810897725283,not_significant,0.817378186134487,positive,0.00784421887170952,not_significant,0.685205731304575
COG3877,not_significant,0.271951396798351,not_significant,0.20905253794552,not_significant,0.58532207208904,not_significant,0.598144102864595,positive,0.0150248791553193,not_significant,0.654801899630268,not_significant,0.482294269208559,not_significant,0.198724049482473,not_significant,0.493734967902563
COG3878,not_significant,0.75249124323568,not_significant,0.687320875929073,not_significant,0.662599095325954,not_significant,0.661730242244257,not_significant,0.467063513308847,not_significant,0.524404287327525,not_significant,0.30739183016881,not_significant,0.929480209823594,not_significant,0.25378021072637
COG3879,not_significant,0.739168870586386,not_significant,0.156346756261298,not_significant,0.329034206211383,not_significant,0.706364231642579,not_significant,0.88684267355978,not_significant,0.576615106728575,not_significant,0.515510390954645,not_significant,0.118183000780073,not_significant,0.0698323473048068
COG3880,negative,0.00697270168340282,not_significant,0.827985120987405,not_significant,0.633314154281379,not_significant,0.906960272358939,not_significant,0.0605090979561084,not_significant,0.221592978811106,not_significant,0.502221781766729,not_significant,0.103212625510015,not_significant,0.117875566463537
