genome_count	ncbi_bioproject
      3 PRJNA416848
      3 PRJNA406094
      3 PRJNA400267
      3 PRJNA399827
      3 PRJNA398511
      3 PRJNA396082
      3 PRJNA394609
      3 PRJNA393761
      3 PRJNA392218
      3 PRJNA389557
      3 PRJNA387952
      3 PRJNA384425
      3 PRJNA381940
      3 PRJNA381623
      3 PRJNA378450
      3 PRJNA377666
      3 PRJNA375626
      3 PRJNA373898
      3 PRJNA367192
      3 PRJNA367191
      3 PRJNA364804
      3 PRJNA361484
      3 PRJNA358824
      3 PRJNA353728
      3 PRJNA348708
      3 PRJNA347484
      3 PRJNA344428
      3 PRJNA342492
      3 PRJNA341832
      3 PRJNA335940
      3 PRJNA322674
      3 PRJNA319586
      3 PRJNA317592
      3 PRJNA317047
      3 PRJNA316009
      3 PRJNA315925
      3 PRJNA313253
      3 PRJNA312617
      3 PRJNA312222
      3 PRJNA311034
      3 PRJNA309241
      3 PRJNA307507
      3 PRJNA305637
      3 PRJNA304199
      3 PRJNA301929
      3 PRJNA301235
      3 PRJNA298832
      3 PRJNA298488
      3 PRJNA297506
      3 PRJNA297058
      3 PRJNA293767
      3 PRJNA288601
      3 PRJNA287175
      3 PRJNA285120
      3 PRJNA283243
      3 PRJNA281423
      3 PRJNA278755
      3 PRJNA276503
      3 PRJNA276313
      3 PRJNA275245
      3 PRJNA273513
      3 PRJNA271899
      3 PRJNA270573
      3 PRJNA264317
      3 PRJNA255756
      3 PRJNA251750
      3 PRJNA249643
      3 PRJNA248653
      3 PRJNA245339
      3 PRJNA243997
      3 PRJNA243645
      3 PRJNA242614
      3 PRJNA233509
      3 PRJNA232731
      3 PRJNA232482
      3 PRJNA230241
      3 PRJNA219229
      3 PRJNA183851
      3 PRJNA183850
      3 PRJEB8392
      3 PRJEB5065
      3 PRJEB44921
      3 PRJEB42974
      3 PRJEB41036
      3 PRJEB36835
      3 PRJEB32205
      3 PRJEB31907
      3 PRJEB3084
      3 PRJEB30766
      3 PRJEB30677
      3 PRJEB28331
